* 1 [가뭄이 들어 백성들이 크게 고통 받고있습니다. 곳간을 열어 민심을 달래시겠습니까? ] [온나라의 백성들이 폐하의 큰 덕을 칭송합니다.] 商 -20 民 +20 , [항산의 부재로 굶주린 백성들이 봉기를 일으킵니다.] 民 -30 士 -10 商 +20 ,
* 17 [민간에서 불교를 크게 숭상한다는 불길한 소문이 퍼졌습니다. 마땅히 그들을 붙잡아 가두고 팔도의 사찰을 단속하시겠습니까?] [민간에서의 반항이 있었으나 나라의 질서가 바로 섰습니다.] 民 -10 士 +15 , [사찰에서 감사의 의미로 공물을 보냈으나 사대부들의 눈에서 불만이 보입니다] 商 +10 士 -10 ,
* 18 [봉기한 농민들이 보유한 농지에 비례해 세금을 거두라고 주장하고 있습니다. 군을 동원해 이 역도들을 소탕하시겠습니까?] [성난 농민들을 기습해 성공적으로 해산시켰습니다] 民 -25 軍 -5 , [이들의 의견에 따라 양반에게 더 많은 조세를 거두었으나 달갑지 않은 반응을 보입니다.] 商 +20 士 -20 ,
* 19 [오만방자한 천민이 새로운 화약을 개발했다며 도성 앞으로 가져왔습니다. 일단 곤장으로 마구 떄리고 멀리 쫓아낼까요?] [위험한 무기를 들고 찾아온 불손한 놈을 쫓아냈으니 대신들이 만족해 합니다] 士 +10 , [당신은 그 자를 믿고 수군에 배치하기로 했습니다] 軍 +10 , 
* 20 [폐하를 모욕하는 익명의 글이 성균관에서 발견되었습니다. 즉시 색출해 처벌하시겠습니까?] [유생들을 모두 붙잡아 문초한 결과 범인을 찾을 수 있었습니다.] 士 -10 , [폐하의 경이로운 인내심에 유생들이 감탄해 합니다.] 士 +10 ,
* 21 [암행어사에 따르면 조정의 한 영감이 나랏돈을 크게 횡령했다고 합니다. 그 자를 잡아 유배 보내시겠습니까?] [나랏돈을 모두 거두어 들였으나 조정 대신과 마찰이 생겼습니다] 商 +10 士 -10 , [그 자가 또다시 횡령을 일삼았다는 상소가 계속해서 올라옵니다] 商 -20 ,
* 22 [지방의 몇몇 관리들이 사사로운 군을 모집하고 있습니다. 즉시 이들을 해산시키고 재산을 압류해야 합니다!] [이들이 양성한 군대를 무사히 해산시키고 재산을 거두었습니다.]  軍 -5 商 +10 , [통제할 수 없는 무인들이 팔도를 활보합니다] 軍 +20 士 -5 ,
* 23 [상인들이 돈으로 신분을 사고판다는 소문이 들려옵니다. 무도한 상인들을 바로 처벌하시겠습니까?] [사대부들이 확고해진 정명에 만족해 합니다.] 士 +15 [문사들의 권위가 땅에 떨어졋습니다.] 士 -20 ,
* 24 [과거시험의 문제가 사전에 유출되었다는 게 밝혀졌습니다. 많은 비용이 들더라도 급하게 다시 시험을 치를까요?] [시험을 다시 여는데 많은 비용이 들었으나 기회를 얻은 다수의 유생들은 흡족해 합니다.] 士 +10 商 -20 , [불만을 품은 유생들이 역모를 꾸미고 봉기했습니다.] 士 -15 軍 -15 ,
* 25 [명에서 특산물을 조공할 것을 요구해왔습니다. 명에게 조공을 바치시겠습니까?] [대신들은 재조지은을 지킴에 만족하였습니다.] 商 -10 士 +20 , [대신들은 명에게 의리를 지키지 않았음에 불만을 가집니다.] 商 +10 士 -10 ,
* 26 [왜에서 통신사를 파견해달라는 사신이 도착했습니다. 사대부는 중화에서 벗어난 왜와 교류하는 것을 껄끄러워 하지만, 정세를 파악하기에는 좋을 것 같습니다.] [왜구의 동향을 새로 파악해 방위에 도움이 되었습니다.] 軍 +15 士 -5 , [오랑캐와 상종해선 안 된다며 선비들이 풍악을 울립니다.] 士 +10 ,
* 27 [상인들이 독점 상행권을 달라며 상소를 올렸습니다. 대신들은 천민들에게 힘을 주어서는 안된다는 입장입니다.] [상인들에게 독점권을 주고 세수를 늘렸습니다.] 士 -10 商 +20 , [대신들은 사농공사의 위계를 지킴에 만족했습니다.] 士 +10 ,
* 28 [무고한 노비를 해방시켜야 한다는 상소가 올라왔습니다. 양반들은 이 상소가 마음에 들지 않는 듯 합니다.] [해방된 관노비들은 이제 폐하께 세금을 바칠 것입니다. 선비들은 노비가 탈출에 기뻐하지 않습니다.] 民 +10 商 +10 士 -10 , [대신들은 자신의 재산을 지킬 수 있어 만족합니다.] 士 +10 ,
* 29 [새로운 화포를 개발해야 한다는 병조판서의 상소가 올라왔습니다.] [새로운 화포를 배치하여 국방을 강화했습니다.] 軍 +15 商 -5 , [나라의 곳간을 아껴 두기로 결정했습니다.] 商 +5 ,
* 30 [암행어사를 파견해 달라는 상소가 올라왔습니다. 암행어사를 파견할까요?] [암행어사는 지방을 돌며 부패한 탐관오리들을 징벌했습니다.] 民 +20 商 -5 , [당신은 지방관의 도덕성을 믿기로 하였습니다.] 民 -10 ,
* 31 [스스로를 여포의 환생이라 소개하는 천민이 돌아다니고 있습니다. 이 자를 잡아 군에 넣으시겠습니까?] [때마침 나타난 왜구를 상대로 여포는 능력을 증명했습니다.] 軍 +20 , [자칭 여포는 신분에 맞게 집으로 돌아갔습니다.] 士 +10 ,
